汉德术语对照表（按汉语拼音字母排列）


A

爱好 Neigung
统握 Begreifen
统一性／统一 Einheit
统治者 Regierer
偷换 Subreption
图形 Figur
图型／图型法 Schema／Schematismus
徒逞辩才 Geschwätzigkeit
推论的 diskursiv
推论／推理 Schluβ／schließen
推想 vernünfteln

W

外延的 extensiv
完备／完备性 vollstandig／Vollständigkeit 
完善性 Vollkommenheit
唯理论（者）Rationalismus／Rationalist
唯灵论 Spiritualismus
唯物论 Materialismus
唯心论 Idealismus
谓词 Prädikat
谓述 prädizieren
未知的 unbekannt
我思／我思故我在 cogito／cogito，ergo sum
我思 ich denke
我在 ich bin
无 Nichts
无可置疑的 apodiktisch
无能 Unvermögen
无神论 Atheismus
无条件的／无条件者 unbedingt／Unbedingte
无限的 infinitus
无限的 unendlich
无信仰 Unglauben
无意识 Nichtbewuβtsein
无知 Unwissenheit
无知 Unkunde
物化 hypostasieren
物质 Materie
物种 Spezies
误推 Trugschluβ

X

下属的 subartern
习惯 Gewohnheit
系词 Copura
系统（的）／体系 System／systematisch
先天地（的）a priori
先验的 transzendental
选言的 disjunktiv
显现 erscheinen
现实性 Wirklichkeit
现象 Erscheinung
现相 Phänomen
限制性 restrinierend
限制性 Einschränkung
限制性 Limitation
相关项／相关物 Korrelate／Korrelatum
相应 korrespondieren
相应 entsprechen
想像／想像力 Einbildung／Einbildungskraft
消极的／否定性（的）negativ／Negation
小前提 Minor
小前提 Untersatz
协同性 Gemeinschaft
心理学 Psychologie
信念／信仰 Glauben
信念 Überzeugung 
幸福 Glückseligkeit／glück zu sein
兴趣 Interesse／Interessant
形而上学 Metaphysik
形式／形式的 Form／formal
形象 Bild
形象的 figürlich
行动 Akt
行动 Handlung
性状 Beschaffenheit
虚无／无 Nichts
序列 Reihe
玄想（家）／推想 Vernünftelei／Vernünftler/vernünfteln
悬拟的 problematisch
悬设 Postulate
悬置 aufheben
学理／学理上的 Doktrin／doktrinal
循环论证 Zirkel
训练 Disziplin

Y

延伸的 protensiv
演绎 Deduktion
演证 Demonstration
厌恶理论 Misologie
样板 probe
样态 Modus
要素 Elemente
要素科学 Elementarwissenschaft
要素论 Elementarlehre
一般 überhaupt
一律 Gleichförmigkeit
一神教 Monotheismus
一神论 Theismus
伊壁鸠鲁的／伊壁鸠鲁主义 epikurisch/Epikureismus
依存／依存性 inhärieren／Inhärenz
怡然自得 Gemächlichkeit
意见 Meinung
意识 Bewuβtsein／bewuβt
意向 Gesinnung
意志 Wille
义务 Pflicht
义务／使有义务 Verbindlichkeit／verbinden
异类的 fremdartig
异质的 heterog
艺术／技艺 Kunst
因果性 Kausalität
因果联系 Kausalverbindung
因果连系 Kausalverknüpfung
应当 Sollen
印象 Eindruck
永福 Seligkeit
永恒 ewig／Ewigkeit
有机体 der organisierte Körper
有死者 Sterbliche
有限的 endlich 
有效性 Göltigkeit
愉快和不愉快 Lust und Unlust
宇宙论／宇宙论的 Kosmologie／kosmologisch
预测 Antizipation
预成论学说 Präformationssystem
预感 Ahnung
预兆作用 Verheiβung
欲求 Begehrung
欲望 Begierd
原理 Grundsatz
原始的 primitiv
原始存在者 Urwesen
原始根据 Urgrund
原始根源 Urquelle
原型的 archetypus
原型 Prototypon
原因 Ursache
原因性 Kausalität
原则 Prinzip
原子 Atomus
原子论 Atomistik
圆满完成 kroren
愿望 Wunsch
云谓关系 Prädikamente

Z

